2026-03-17T12:33:58	selection_utils.log_decision_tree_step	INFO    	Step 12: calc_varex_thresh calculated: varex_upper_thresh=1.5093048747530364, upper_perc=90
2026-03-17T12:33:58	selection_utils.log_classification_counts	INFO    	Step 12: Total component classifications: 3 provisionalaccept, 1 rejected, 2 unclass_highvar, 10 unclassified
2026-03-17T12:33:58	selection_nodes.calc_varex_thresh	INFO    	Step 13: calc_varex_thresh: Calc varex_lower_thresh, 25th percentile threshold
2026-03-17T12:33:58	selection_utils.log_decision_tree_step	INFO    	Step 13: calc_varex_thresh calculated: varex_lower_thresh=1.0138605322638046, lower_perc=25
2026-03-17T12:33:58	selection_utils.log_classification_counts	INFO    	Step 13: Total component classifications: 3 provisionalaccept, 1 rejected, 2 unclass_highvar, 10 unclassified
2026-03-17T12:33:58	selection_utils.get_extend_factor	INFO    	extend_factor=2.0, based on number of fMRI volumes
2026-03-17T12:33:58	selection_utils.log_decision_tree_step	INFO    	Step 14: calc_extend_factor calculated: extend_factor=2.0
2026-03-17T12:33:58	selection_utils.log_classification_counts	INFO    	Step 14: Total component classifications: 3 provisionalaccept, 1 rejected, 2 unclass_highvar, 10 unclassified
2026-03-17T12:33:58	selection_utils.log_decision_tree_step	INFO    	Step 15: calc_max_good_meanmetricrank calculated: max_good_meanmetricrank=6.0
2026-03-17T12:33:58	selection_utils.log_classification_counts	INFO    	Step 15: Total component classifications: 3 provisionalaccept, 1 rejected, 2 unclass_highvar, 10 unclassified
2026-03-17T12:33:58	selection_utils.log_decision_tree_step	INFO    	Step 16: calc_varex_kappa_ratio calculated: kappa_rate=30.8034386281485
2026-03-17T12:33:58	selection_utils.log_classification_counts	INFO    	Step 16: Total component classifications: 3 provisionalaccept, 1 rejected, 2 unclass_highvar, 10 unclassified
2026-03-17T12:33:58	selection_nodes.dec_left_op_right	INFO    	Step 17: left_op_right: rejected if ['d_table_score>6.0 & variance explained>2.0*1.51'], else nochange
2026-03-17T12:33:58	selection_nodes.dec_left_op_right	INFO    	Step 17: left_op_right If variance and d_table_scores are high, then reject
2026-03-17T12:33:58	selection_utils.log_decision_tree_step	INFO    	Step 17: left_op_right applied to 15 components. 3 True -> rejected. 12 False -> nochange.
2026-03-17T12:33:58	selection_utils.log_classification_counts	INFO    	Step 17: Total component classifications: 3 provisionalaccept, 4 rejected, 1 unclass_highvar, 8 unclassified
2026-03-17T12:33:58	selection_nodes.dec_left_op_right	INFO    	Step 18: left_op_right: accepted if ['d_table_score>6.0 & variance explained<=1.01 & kappa<=27.66'], else nochange
2026-03-17T12:33:58	selection_nodes.dec_left_op_right	INFO    	Step 18: left_op_right If low variance, accept even if bad kappa & d_table_scores
2026-03-17T12:33:58	selection_utils.log_decision_tree_step	INFO    	Step 18: left_op_right applied to 12 components. 2 True -> accepted. 10 False -> nochange.
2026-03-17T12:33:58	selection_utils.log_classification_counts	INFO    	Step 18: Total component classifications: 2 accepted, 3 provisionalaccept, 4 rejected, 1 unclass_highvar, 6 unclassified
2026-03-17T12:33:58	selection_nodes.dec_classification_doesnt_exist	INFO    	Step 19: classification_doesnt_exist: Change ['provisionalaccept', 'unclassified', 'unclass_highvar'] to accepted if ['unclassified', 'unclass_highvar'] doesn't exist
2026-03-17T12:33:58	selection_nodes.dec_classification_doesnt_exist	INFO    	Step 19: classification_doesnt_exist If nothing left is unclassified, then accept all
2026-03-17T12:33:58	selection_utils.log_decision_tree_step	INFO    	Step 19: classification_doesnt_exist applied to 10 components. None True -> 0. None False -> 10.
2026-03-17T12:33:58	selection_utils.log_classification_counts	INFO    	Step 19: Total component classifications: 2 accepted, 3 provisionalaccept, 4 rejected, 1 unclass_highvar, 6 unclassified
2026-03-17T12:33:58	selection_nodes.calc_revised_meanmetricrank_guesses	INFO    	Step 20: calc_revised_meanmetricrank_guesses: Calc revised d_table_score & num accepted component guesses
2026-03-17T12:33:58	selection_utils.log_decision_tree_step	INFO    	Step 20: calc_revised_meanmetricrank_guesses calculated: num_acc_guess=5, conservative_guess=2.5, restrict_factor=2
2026-03-17T12:33:58	selection_utils.log_classification_counts	INFO    	Step 20: Total component classifications: 2 accepted, 3 provisionalaccept, 4 rejected, 1 unclass_highvar, 6 unclassified
2026-03-17T12:33:58	selection_nodes.dec_left_op_right	INFO    	Step 21: left_op_right: rejected if ['d_table_score_node20>2.5 & varex kappa ratio>2*2.0 & variance explained>2.0*1.51'], else nochange
2026-03-17T12:33:58	selection_nodes.dec_left_op_right	INFO    	Step 21: left_op_right Reject if a combination of kappa, variance, and other factors are ranked worse than others
2026-03-17T12:33:58	selection_utils.log_decision_tree_step	INFO    	Step 21: left_op_right applied to 10 components. 1 True -> rejected. 9 False -> nochange.
2026-03-17T12:33:58	selection_utils.log_classification_counts	INFO    	Step 21: Total component classifications: 2 accepted, 3 provisionalaccept, 5 rejected, 6 unclassified
