rmse_mean	rmse_std	rmse_min	rmse_percentile02	rmse_percentile25	rmse_median	rmse_percentile75	rmse_percentile98	rmse_max
262.2629699707031	387.8484191894531	1.1466715335845947	63.245370864868164	146.4814567565918	211.5504150390625	311.0976333618164	713.0769165039065	15226.095703125
262.5276184082031	387.7669372558594	5.1717729568481445	63.15427932739258	146.57749938964844	210.93162536621094	310.8908920288086	713.6063903808606	14748.603515625
262.46173095703125	387.46038818359375	3.6172678470611572	62.49091835021973	146.47681427001953	211.8074188232422	310.4132614135742	715.6415893554694	15567.701171875
261.31976318359375	389.59808349609375	1.4017815589904785	62.12624816894531	145.78364944458008	210.2072982788086	308.0200958251953	719.9804199218753	15153.0546875
262.44903564453125	386.482421875	10.298968315124512	63.10053024291992	146.5794448852539	210.8990478515625	310.7934265136719	722.2826965332031	14536.615234375
261.9459228515625	388.02557373046875	6.802427768707275	62.608218383789065	145.61845016479492	210.52540588378906	309.76497650146484	718.7002197265631	14876.9521484375
261.9002380371094	386.9530944824219	5.150966644287109	63.67239608764648	146.97400665283203	210.87954711914062	308.8634490966797	716.5025451660157	15998.451171875
261.180419921875	387.2398986816406	1.6898459196090698	64.03385314941406	145.78572845458984	209.65536499023438	308.5499572753906	711.4635314941411	14316.712890625
262.1894226074219	387.6385803222656	4.529109001159668	62.76999015808106	145.8273811340332	210.23409271240234	309.25767517089844	723.5210327148438	15264.1806640625
262.0611267089844	386.93548583984375	4.514054298400879	63.08702964782715	146.15651321411133	210.45809173583984	310.1801223754883	715.6056274414065	15185.505859375
260.1075134277344	385.53900146484375	0.6024513840675354	63.367814254760745	146.1882667541504	211.07946014404297	308.3641052246094	698.8966247558596	15080.3701171875
264.5355529785156	387.4161071777344	3.8843414783477783	62.96246871948242	146.99175262451172	212.69127655029297	313.25989532470703	730.289294433595	14453.60546875
261.590576171875	387.1036682128906	3.1346435546875	63.14938316345215	146.10468292236328	210.73921966552734	308.5294418334961	719.4235351562504	15606.0263671875
261.8806457519531	387.1688232421875	4.924012660980225	63.1654956817627	146.06044006347656	210.64425659179688	310.7116394042969	712.5098632812501	15303.9912109375
261.7933654785156	384.96466064453125	3.8050756454467773	63.68127975463867	146.78717422485352	210.59571075439453	309.9376907348633	718.8737548828128	14487.7275390625
262.8908996582031	388.8577880859375	6.995469093322754	62.52999382019043	145.6995735168457	211.01089477539062	309.51673889160156	727.5219543457036	14879.7119140625
261.4459533691406	386.1720886230469	5.0668768882751465	63.696310424804686	146.03267288208008	210.76251220703125	309.65917205810547	713.0378845214844	15418.8515625
263.196533203125	388.50628662109375	5.553501605987549	63.2925968170166	146.3387565612793	210.9196548461914	311.64603424072266	724.8877014160158	14472.6884765625
