pca_00	pca_01	pca_02	pca_03	pca_04	pca_05	pca_06	pca_07	pca_08	pca_09	pca_10	pca_11	pca_12	pca_13	pca_14
-0.07645437046212014	-0.018025636999163118	0.07329219274303035	-0.06702769961523364	-0.10363724536129612	-0.033905745679540335	0.07047177482205418	0.10558940877168017	-0.027586114627221492	0.10558217188212829	0.03355677046222041	0.010187633985694361	0.03646411694774646	0.09706273976374888	-0.0062873956629442675
-0.06307886008622114	0.003114852144743381	0.07299884832654743	0.06158099943464955	0.027836582530815557	-0.046599355065219096	-0.07142867552242321	0.0053885981405329565	-0.005069462376502725	0.01453775636984487	0.08029471081527038	0.1620462219798545	0.06423486297234568	-0.047734960854852994	0.047787803041453594
-0.07687057313234505	-0.03196011376174894	-0.06667944973492573	0.06571763843706215	-0.15463638929192025	-0.15830422549601467	0.03168880122886803	0.054034128597070054	-0.07985703629173735	0.04443086703999313	0.11023124579488006	0.08389356411533243	0.014654639352299381	0.08491533224468496	-0.05698190875759902
-0.060394311708971644	-0.005751857593056798	-0.050662829314981284	-0.08515169969192793	0.02855272272227527	-0.07781018845055901	-0.09013986093713966	0.03218578928642419	-0.03783458071335591	-0.019127863196317638	0.06564038963255818	0.18754397039452864	0.11489168031635193	-0.044702700406135235	-0.003562763225727515
-0.07234952244191384	-0.03145590215822392	0.10155616808204965	0.0003570432803277275	-0.10062162002608245	-0.04973899092760948	0.031818655852136515	0.04835063126079656	-0.040827953835447184	0.08142875915687886	-0.012190210778783907	0.07555970918480051	-0.07401984343691113	0.04131370597820239	-0.029996198699790363
-0.05967180766138386	-0.0023321209277280615	-0.0405020740129655	0.0990696364846982	0.05464047170387408	0.025002532526495373	-0.0551354697310335	0.01874791736698052	0.030543297170899562	0.03431585061837299	-0.05956855236777657	0.05771985733690491	0.10904798616026677	0.06064432224372811	0.018751966452338533
-0.07586088756709912	-0.020208218527183453	-0.07006871745891478	-0.05946229953055594	-0.1293766009377843	-0.02638244018761008	0.06138077799143133	0.0035266324572431015	-0.027573818425302488	0.11884834589072367	-0.04994578645767252	0.024571866186691604	-0.047900936736038874	-0.06499860421117971	-0.07643503295548124
-0.05609320239864495	0.007515810566018802	0.048734134479448785	-0.08236203542432997	0.06796957604811146	-0.028634786014082828	-0.04854533165817276	0.05055102666506264	0.05407448531286771	-0.062016550862107035	-0.020442864487498533	0.08829905041116161	0.06327999200319996	0.12350071671931351	0.040583297061656365
-0.07370008902613748	-0.03346032785465292	0.0813929364525138	0.06689936273184686	-0.13276454074963331	-0.12179271905255448	-0.017298172015024052	-0.06469203393905733	-0.01361595310439104	0.09948114087729651	0.054162361709404874	0.053965651308717194	0.021654589953083343	-0.0826823821196535	-0.01567477956156152
-0.054192697971366735	-0.015536966212026068	-0.09445724606717235	0.05557637372852206	0.06902294960128251	-0.047268262197625394	0.00230238685450494	0.04244738065395341	-0.07011421757075413	-0.060246473329440525	-0.006824252191492042	0.13000004334828494	0.031906892393005225	0.09714599279966128	0.05442299635516719
-0.0667223923285635	-0.021457488436914116	-0.008933556528075419	-0.0868675093708885	-0.0681115298085145	-0.04938843528771414	0.0004987509629961217	-0.07561525282341057	0.10000597426576147	0.11875289581776324	0.0126744985506882	-0.011958297776015949	0.14627417786801414	-0.04302270702475775	-0.0019359985400546618
-0.05986267472580642	-0.013002970502645981	0.09726969900483336	0.030408782931224575	0.018143169130170098	-0.008970016863638198	0.053215565584117094	0.019289370111473404	-0.04149788655219944	-0.0062007830176202886	-0.09842589340482769	0.10606272213026202	-0.026447050601967118	-0.025483910913082306	0.04547993762301336
